Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:42:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:42:26     all   13.89    0.00    0.28    0.07    0.00    0.21    0.00    0.00    0.00   85.56
03:42:27     all   14.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.37
03:42:28     all   14.58    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.27
03:42:29     all   14.53    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.32
03:42:30     all   14.72    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.14
03:42:31     all   14.63    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   85.30
03:42:32     all   14.66    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.20
03:42:33     all   14.56    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   85.29
03:42:34     all   14.53    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.32
03:42:35     all   14.53    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   85.40
03:42:36     all   14.51    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   85.27
03:42:37     all   14.57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.43
03:42:38     all   14.53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.47
03:42:39     all   14.53    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.33
03:42:40     all   14.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.53
03:42:41     all   14.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.33
03:42:42     all   14.54    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   85.31
03:42:43     all   14.51    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   85.27
03:42:43     all   14.46    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   85.40
03:42:44     all   14.78    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   85.15
03:42:45     all   14.55    0.00    0.07    0.07    0.00    0.00    0.00    0.00    0.00   85.30
03:42:46     all   14.47    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   85.39
03:42:47     all   14.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.16
03:42:48     all   15.09    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   84.84
03:42:49     all   14.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.10
03:42:50     all   15.03    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   84.83
03:42:51     all   14.46    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   85.47
03:42:52     all   14.67    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   85.26
03:42:53     all   14.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   85.03
03:42:54     all   15.10    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   84.83
03:42:55     all   14.96    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   84.82
