Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

03:39:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:39:50     all   49.93    0.00    0.07    0.00    0.00    0.36    0.00    0.00    0.00   49.64
03:39:51     all   50.61    0.00    0.14    0.00    0.00    0.58    0.00    0.00    0.00   48.67
03:39:52     all   50.76    0.00    0.00    0.00    0.00    0.22    0.00    0.00    0.00   49.02
03:39:53     all   50.76    0.00    0.00    0.07    0.00    0.22    0.00    0.00    0.00   48.95
03:39:54     all   50.76    0.00    0.00    0.00    0.00    0.22    0.00    0.00    0.00   49.02
03:39:55     all   50.79    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   49.06
03:39:56     all   50.76    0.00    0.00    0.00    0.00    0.43    0.00    0.00    0.00   48.81
03:39:57     all   50.87    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   49.06
03:39:58     all   50.91    0.00    0.15    0.07    0.00    0.00    0.00    0.00    0.00   48.88
03:39:59     all   51.05    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   48.81
03:40:00     all   50.80    0.00    0.00    0.00    0.00    0.29    0.00    0.00    0.00   48.91
03:40:01     all   50.76    0.00    0.00    0.00    0.00    0.22    0.00    0.00    0.00   49.02
03:40:02     all   50.84    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   49.02
03:40:03     all   50.91    0.00    0.00    0.15    0.00    0.15    0.00    0.00    0.00   48.80
03:40:04     all   50.87    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   49.06
03:40:05     all   50.80    0.00    0.00    0.00    0.00    0.14    0.00    0.00    0.00   49.06
03:40:05     all   50.50    0.00    0.00    0.00    0.00    0.57    0.00    0.00    0.00   48.92
03:40:06     all   50.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   49.53
03:40:07     all   50.83    0.00    0.07    0.07    0.00    0.22    0.00    0.00    0.00   48.81
03:40:08     all   50.80    0.00    0.07    0.00    0.00    0.15    0.00    0.00    0.00   48.98
03:40:09     all   50.91    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   49.02
03:40:10     all   50.65    0.00    0.00    0.00    0.00    0.29    0.00    0.00    0.00   49.06
03:40:11     all   50.94    0.00    0.07    0.00    0.00    0.22    0.00    0.00    0.00   48.78
03:40:12     all   51.01    0.00    0.00    0.07    0.00    0.07    0.00    0.00    0.00   48.84
03:40:13     all   50.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   49.09
03:40:14     all   50.80    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   49.13
03:40:15     all   50.75    0.00    0.07    0.00    0.00    0.29    0.00    0.00    0.00   48.89
03:40:16     all   50.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   49.09
03:40:17     all   50.84    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   49.02
03:40:18     all   50.90    0.00    0.00    0.14    0.00    0.22    0.00    0.00    0.00   48.73
03:40:19     all   50.83    0.00    0.00    0.00    0.00    0.29    0.00    0.00    0.00   48.88
