Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:13:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:13:11     all   41.63    0.00    0.29    0.00    0.00    0.14    0.00    0.00    0.00   57.94
07:13:12     all   43.99    0.00    2.06    0.71    0.00    0.93    0.00    0.00    0.00   52.31
07:13:13     all   43.84    0.00    0.57    0.00    0.00    0.21    0.00    0.00    0.00   55.37
07:13:14     all   43.47    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   55.95
07:13:15     all   43.67    0.00    0.43    0.00    0.00    0.57    0.00    0.00    0.00   55.33
07:13:16     all   43.64    0.00    0.64    0.00    0.00    0.07    0.00    0.00    0.00   55.64
07:13:17     all   43.60    0.00    0.79    0.14    0.00    0.14    0.00    0.00    0.00   55.33
07:13:18     all   43.56    0.00    0.43    0.00    0.00    0.07    0.00    0.00    0.00   55.94
07:13:19     all   44.08    0.00    0.36    0.00    0.00    0.14    0.00    0.00    0.00   55.42
07:13:20     all   43.71    0.00    0.57    0.00    0.00    0.14    0.00    0.00    0.00   55.58
07:13:21     all   43.61    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   55.82
07:13:22     all   43.76    0.00    0.43    0.00    0.00    0.07    0.00    0.00    0.00   55.74
07:13:23     all   43.44    0.00    0.86    0.00    0.00    0.22    0.00    0.00    0.00   55.48
07:13:24     all   43.68    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   55.75
07:13:25     all   43.66    0.00    0.57    0.00    0.00    0.14    0.00    0.00    0.00   55.63
07:13:26     all   43.63    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   55.80
07:13:27     all   43.73    0.00    0.50    0.07    0.00    0.22    0.00    0.00    0.00   55.48
07:13:28     all   43.76    0.00    0.36    0.00    0.00    0.00    0.00    0.00    0.00   55.88
07:13:29     all   43.71    0.00    0.29    0.00    0.00    0.14    0.00    0.00    0.00   55.86
07:13:30     all   43.65    0.00    0.57    0.00    0.00    0.14    0.00    0.00    0.00   55.64
07:13:31     all   43.68    0.00    0.50    0.00    0.00    0.07    0.00    0.00    0.00   55.75
07:13:32     all   43.80    0.00    0.22    0.07    0.00    0.07    0.00    0.00    0.00   55.84
07:13:33     all   43.61    0.00    0.43    0.00    0.00    0.14    0.00    0.00    0.00   55.82
07:13:34     all   43.75    0.00    0.43    0.00    0.00    0.22    0.00    0.00    0.00   55.60
07:13:35     all   43.36    0.00    0.93    0.00    0.00    0.21    0.00    0.00    0.00   55.50
07:13:36     all   43.80    0.00    0.29    0.00    0.00    0.07    0.00    0.00    0.00   55.84
07:13:37     all   43.61    0.00    0.50    0.14    0.00    0.14    0.00    0.00    0.00   55.60
07:13:38     all   43.65    0.00    0.65    0.00    0.00    0.14    0.00    0.00    0.00   55.56
07:13:39     all   43.80    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   55.91
07:13:40     all   43.70    0.00    0.22    0.00    0.00    0.07    0.00    0.00    0.00   56.01
07:13:41     all   43.57    0.00    0.43    0.00    0.00    0.14    0.00    0.00    0.00   55.85
