Linux 6.6.87.1-microsoft-standard-WSL2 (LAPTOP-5KLLEFAB) 	06/13/25 	_x86_64_	(14 CPU)

07:19:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:19:13     all   47.97    0.00    0.21    0.00    0.00    0.57    0.00    0.00    0.00   51.24
07:19:14     all   52.02    0.00    1.92    0.71    0.00    1.35    0.00    0.00    0.00   44.00
07:19:15     all   51.65    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   48.14
07:19:16     all   51.54    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   48.17
07:19:17     all   51.78    0.00    0.14    0.00    0.00    0.29    0.00    0.00    0.00   47.79
07:19:18     all   52.11    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.82
07:19:19     all   52.28    0.00    0.00    0.07    0.00    0.00    0.00    0.00    0.00   47.65
07:19:20     all   51.85    0.00    0.07    0.00    0.00    0.14    0.00    0.00    0.00   47.93
07:19:21     all   52.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   47.82
07:19:22     all   51.99    0.00    0.14    0.00    0.00    0.14    0.00    0.00    0.00   47.72
07:19:23     all   52.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   47.86
07:19:24     all   52.17    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.75
07:19:25     all   52.21    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.72
07:19:26     all   52.21    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   47.72
07:19:27     all   51.99    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.87
07:19:28     all   52.17    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.68
07:19:29     all   51.96    0.00    0.14    0.14    0.00    0.07    0.00    0.00    0.00   47.68
07:19:30     all   52.17    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   47.76
07:19:31     all   52.21    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.72
07:19:32     all   52.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   47.93
07:19:33     all   52.03    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.83
07:19:34     all   52.14    0.00    0.07    0.14    0.00    0.07    0.00    0.00    0.00   47.57
07:19:35     all   52.17    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.69
07:19:36     all   52.17    0.00    0.00    0.00    0.00    0.07    0.00    0.00    0.00   47.75
07:19:37     all   52.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   47.93
07:19:38     all   52.07    0.00    0.14    0.00    0.00    0.07    0.00    0.00    0.00   47.72
07:19:39     all   52.03    0.00    0.00    0.14    0.00    0.07    0.00    0.00    0.00   47.75
07:19:40     all   52.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   47.86
07:19:41     all   52.13    0.00    0.14    0.00    0.00    0.28    0.00    0.00    0.00   47.44
07:19:42     all   52.03    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   47.90
07:19:43     all   52.07    0.00    0.07    0.00    0.00    0.07    0.00    0.00    0.00   47.79
